condition_name,experiment_type,seed,selection_criteria,isolation_fraction,isolation_duration,isolation_frequency,no_return,num_generations,steps_per_generation,food_initial,food_max,ctrl_avg_fitness,treat_avg_fitness,fitness_impact,ctrl_alive_final,treat_alive_final,treat_extinct,ctrl_extinction_step,treat_extinction_step,ctrl_total_food,treat_total_food,food_reduction_pct,ctrl_diversity_final,treat_diversity_final,total_isolations,total_returns
ratio_20pct,ratio_sweep,3740,adventurousness,0.2,100,5,False,5,1000,,,0.37177999999999994,0.0,-0.37177999999999994,0,0,True,3820,620,252,0,100.0,0,0,412,193
ratio_20pct,ratio_sweep,3877,adventurousness,0.2,100,5,False,5,1000,,,0.1394,0.0,-0.1394,0,0,True,720,400,50,0,100.0,0,0,384,189
ratio_20pct,ratio_sweep,4014,adventurousness,0.2,100,5,False,5,1000,,,0.14514,0.0,-0.14514,0,0,True,892,500,49,0,100.0,0,0,456,242
ratio_20pct,ratio_sweep,4151,adventurousness,0.2,100,5,False,5,1000,,,0.11532,0.0,-0.11532,0,0,True,980,580,50,0,100.0,0,0,426,212
ratio_20pct,ratio_sweep,4288,adventurousness,0.2,100,5,False,5,1000,,,0.38888,0.0,-0.38888,0,0,True,700,337,188,0,100.0,0,0,392,199
ratio_20pct,ratio_sweep,4425,adventurousness,0.2,100,5,False,5,1000,,,0.12536,0.0,-0.12536,0,0,True,1630,620,49,0,100.0,0,0,434,214
ratio_20pct,ratio_sweep,4562,adventurousness,0.2,100,5,False,5,1000,,,0.142,0.0,-0.142,0,0,True,1768,365,49,0,100.0,0,0,421,210
ratio_20pct,ratio_sweep,4699,adventurousness,0.2,100,5,False,5,1000,,,0.57328,0.0,-0.57328,3,0,True,2880,360,347,0,100.0,0.1148,0,428,220
ratio_20pct,ratio_sweep,4836,adventurousness,0.2,100,5,False,5,1000,,,0.11472,0.0,-0.11472,0,0,True,1834,460,49,0,100.0,0,0,437,228
ratio_20pct,ratio_sweep,4973,adventurousness,0.2,100,5,False,5,1000,,,0.25726,0.0,-0.25726,0,0,True,1840,652,162,0,100.0,0,0,466,250
ratio_30pct,ratio_sweep,1000,adventurousness,0.3,100,5,False,5,1000,,,0.51122,0.0,-0.51122,2,0,True,3974,390,355,0,100.0,0.2367,0,417,187
ratio_30pct,ratio_sweep,1137,adventurousness,0.3,100,5,False,5,1000,,,0.41875999999999997,0.0,-0.41875999999999997,0,0,True,2870,340,142,0,100.0,0,0,367,170
ratio_30pct,ratio_sweep,1274,adventurousness,0.3,100,5,False,5,1000,,,0.58016,0.0,-0.58016,1,0,True,1740,360,301,0,100.0,0.0,0,410,197
ratio_30pct,ratio_sweep,1411,adventurousness,0.3,100,5,False,5,1000,,,0.12625999999999998,0.0,-0.12625999999999998,0,0,True,860,440,50,0,100.0,0,0,435,206
ratio_30pct,ratio_sweep,1548,adventurousness,0.3,100,5,False,5,1000,,,0.26117999999999997,0.0,-0.26117999999999997,0,0,True,3000,500,203,0,100.0,0,0,396,208
ratio_30pct,ratio_sweep,1685,adventurousness,0.3,100,5,False,5,1000,,,0.39538,0.0,-0.39538,0,0,True,3960,430,147,0,100.0,0,0,415,206
ratio_30pct,ratio_sweep,1822,adventurousness,0.3,100,5,False,5,1000,,,0.2827,0.0,-0.2827,0,0,True,993,480,135,0,100.0,0,0,410,195
ratio_30pct,ratio_sweep,1959,adventurousness,0.3,100,5,False,5,1000,,,0.40269999999999995,0.11538,-0.28731999999999996,0,0,True,1760,400,310,47,84.84,0,0,412,185
ratio_30pct,ratio_sweep,2096,adventurousness,0.3,100,5,False,5,1000,,,0.1356,0.0,-0.1356,0,0,True,1660,380,103,0,100.0,0,0,388,176
ratio_30pct,ratio_sweep,2233,adventurousness,0.3,100,5,False,5,1000,,,0.13782,0.0,-0.13782,0,0,True,1672,580,52,0,100.0,0,0,446,227
ratio_30pct,ratio_sweep,2370,adventurousness,0.3,100,5,False,5,1000,,,0.24778000000000003,0.0,-0.24778000000000003,0,0,True,2000,440,148,0,100.0,0,0,388,152
ratio_30pct,ratio_sweep,2507,adventurousness,0.3,100,5,False,5,1000,,,0.1326,0.0,-0.1326,0,0,True,1880,341,50,0,100.0,0,0,439,216
ratio_30pct,ratio_sweep,2644,adventurousness,0.3,100,5,False,5,1000,,,0.23815999999999998,0.0,-0.23815999999999998,0,0,True,2580,380,99,0,100.0,0,0,394,184
ratio_30pct,ratio_sweep,2781,adventurousness,0.3,100,5,False,5,1000,,,0.25398,0.0,-0.25398,0,0,True,2846,340,100,0,100.0,0,0,400,174
ratio_30pct,ratio_sweep,2918,adventurousness,0.3,100,5,False,5,1000,,,0.13455999999999999,0.0,-0.13455999999999999,0,0,True,1500,320,152,0,100.0,0,0,425,201
ratio_30pct,ratio_sweep,3055,adventurousness,0.3,100,5,False,5,1000,,,0.15808,0.0,-0.15808,0,0,True,1829,500,50,0,100.0,0,0,410,200
ratio_30pct,ratio_sweep,3192,adventurousness,0.3,100,5,False,5,1000,,,0.0,0.0,0.0,0,0,True,520,440,0,0,0.0,0,0,395,174
ratio_30pct,ratio_sweep,3329,adventurousness,0.3,100,5,False,5,1000,,,0.35402000000000006,0.0,-0.35402000000000006,0,0,True,3720,500,287,0,100.0,0,0,464,236
ratio_30pct,ratio_sweep,3466,adventurousness,0.3,100,5,False,5,1000,,,0.65642,0.0,-0.65642,1,0,True,,460,400,0,100.0,0.0,0,393,171
ratio_30pct,ratio_sweep,3603,adventurousness,0.3,100,5,False,5,1000,,,0.38339999999999996,0.0,-0.38339999999999996,1,0,True,940,330,195,0,100.0,0.0,0,431,211
ratio_30pct,ratio_sweep,3740,adventurousness,0.3,100,5,False,5,1000,,,0.37177999999999994,0.0,-0.37177999999999994,0,0,True,3820,480,252,0,100.0,0,0,448,219
ratio_30pct,ratio_sweep,3877,adventurousness,0.3,100,5,False,5,1000,,,0.1394,0.0,-0.1394,0,0,True,720,320,50,0,100.0,0,0,414,201
ratio_30pct,ratio_sweep,4014,adventurousness,0.3,100,5,False,5,1000,,,0.14514,0.0,-0.14514,0,0,True,892,600,49,0,100.0,0,0,433,215
ratio_30pct,ratio_sweep,4151,adventurousness,0.3,100,5,False,5,1000,,,0.11532,0.0,-0.11532,0,0,True,980,320,50,0,100.0,0,0,441,220
ratio_30pct,ratio_sweep,4288,adventurousness,0.3,100,5,False,5,1000,,,0.38888,0.0,-0.38888,0,0,True,700,400,188,0,100.0,0,0,432,196
ratio_30pct,ratio_sweep,4425,adventurousness,0.3,100,5,False,5,1000,,,0.12536,0.0,-0.12536,0,0,True,1630,620,49,0,100.0,0,0,423,191
ratio_30pct,ratio_sweep,4562,adventurousness,0.3,100,5,False,5,1000,,,0.142,0.0,-0.142,0,0,True,1768,450,49,0,100.0,0,0,411,182
ratio_30pct,ratio_sweep,4699,adventurousness,0.3,100,5,False,5,1000,,,0.57328,0.0,-0.57328,3,0,True,2880,440,347,0,100.0,0.1148,0,443,227
ratio_30pct,ratio_sweep,4836,adventurousness,0.3,100,5,False,5,1000,,,0.11472,0.0,-0.11472,0,0,True,1834,420,49,0,100.0,0,0,425,210
ratio_30pct,ratio_sweep,4973,adventurousness,0.3,100,5,False,5,1000,,,0.25726,0.0,-0.25726,0,0,True,1840,420,162,0,100.0,0,0,427,198
ratio_5pct,ratio_sweep,1000,adventurousness,0.05,100,5,False,5,1000,,,0.51122,0.0,-0.51122,2,0,True,3974,360,355,0,100.0,0.2367,0,297,117
ratio_5pct,ratio_sweep,1137,adventurousness,0.05,100,5,False,5,1000,,,0.41875999999999997,0.0,-0.41875999999999997,0,0,True,2870,460,142,0,100.0,0,0,274,101
ratio_5pct,ratio_sweep,1274,adventurousness,0.05,100,5,False,5,1000,,,0.58016,0.0,-0.58016,1,0,True,1740,440,301,0,100.0,0.0,0,272,105
ratio_5pct,ratio_sweep,1411,adventurousness,0.05,100,5,False,5,1000,,,0.12625999999999998,0.0,-0.12625999999999998,0,0,True,860,380,50,0,100.0,0,0,288,114
ratio_5pct,ratio_sweep,1548,adventurousness,0.05,100,5,False,5,1000,,,0.26117999999999997,0.0,-0.26117999999999997,0,0,True,3000,780,203,0,100.0,0,0,269,107
