condition_name,experiment_type,seed,selection_criteria,isolation_fraction,isolation_duration,isolation_frequency,no_return,num_generations,steps_per_generation,food_initial,food_max,ctrl_avg_fitness,treat_avg_fitness,fitness_impact,ctrl_alive_final,treat_alive_final,treat_extinct,ctrl_extinction_step,treat_extinction_step,ctrl_total_food,treat_total_food,food_reduction_pct,ctrl_diversity_final,treat_diversity_final,total_isolations,total_returns
ratio_30pct,ratio_sweep,3740,adventurousness,0.3,50,50,False,5,1000,,,0.37177999999999994,0.63734,0.2655600000000001,0,3,False,3820,,252,738,-192.86,0,0.262,498,470
ratio_30pct,ratio_sweep,3877,adventurousness,0.3,50,50,False,5,1000,,,0.0,0.52608,0.52608,0,0,True,720,4804,0,426,0.0,0,0,388,378
ratio_30pct,ratio_sweep,4014,adventurousness,0.3,50,50,False,5,1000,,,0.0,0.38498,0.38498,0,0,True,892,2935,0,386,0.0,0,0,409,395
ratio_30pct,ratio_sweep,4151,adventurousness,0.3,50,50,False,5,1000,,,0.39196,0.61794,0.22598000000000007,0,4,False,980,,203,1085,-434.48,0,0.2398,572,550
ratio_30pct,ratio_sweep,4288,adventurousness,0.3,50,50,False,5,1000,,,0.12934,0.48222,0.35287999999999997,0,0,True,700,4590,48,400,-733.33,0,0,468,434
ratio_30pct,ratio_sweep,4425,adventurousness,0.3,50,50,False,5,1000,,,0.12536,0.38318,0.25782000000000005,0,0,True,1630,1891,49,610,-1144.9,0,0,514,496
ratio_30pct,ratio_sweep,4562,adventurousness,0.3,50,50,False,5,1000,,,0.142,0.5247999999999999,0.3827999999999999,0,1,True,1768,3924,49,474,-867.35,0,0.0,499,478
ratio_30pct,ratio_sweep,4699,adventurousness,0.3,50,50,False,5,1000,,,0.57328,0.61276,0.03947999999999996,3,5,False,2880,,347,1151,-231.7,0.1148,0.2523,487,474
ratio_30pct,ratio_sweep,4836,adventurousness,0.3,50,50,False,5,1000,,,0.11472,0.6942,0.57948,0,3,False,1834,,49,794,-1520.41,0,0.1137,453,440
ratio_30pct,ratio_sweep,4973,adventurousness,0.3,50,50,False,5,1000,,,0.25726,0.62132,0.36406,0,3,False,1840,,162,1209,-646.3,0,0.2848,520,509
ratio_5pct,ratio_sweep,1000,adventurousness,0.05,50,50,False,5,1000,,,0.51122,0.358,-0.15322000000000002,2,0,True,3974,2841,355,195,45.07,0.2367,0,36,33
ratio_5pct,ratio_sweep,1137,adventurousness,0.05,50,50,False,5,1000,,,0.41875999999999997,0.12054000000000001,-0.29821999999999993,0,0,True,2870,715,142,47,66.9,0,0,37,37
ratio_5pct,ratio_sweep,1274,adventurousness,0.05,50,50,False,5,1000,,,0.58016,0.23996000000000003,-0.34019999999999995,1,0,True,1740,2620,301,146,51.5,0.0,0,40,37
ratio_5pct,ratio_sweep,1411,adventurousness,0.05,50,50,False,5,1000,,,0.39215999999999995,0.25634,-0.13581999999999994,1,1,True,860,1880,194,125,35.57,0.0,0.0,46,44
ratio_5pct,ratio_sweep,1548,adventurousness,0.05,50,50,False,5,1000,,,0.26117999999999997,0.3512,0.09002000000000004,0,0,True,3000,3480,203,197,2.96,0,0,33,30
ratio_5pct,ratio_sweep,1685,adventurousness,0.05,50,50,False,5,1000,,,0.39538,0.0,-0.39538,0,0,True,3960,980,147,0,100.0,0,0,32,27
ratio_5pct,ratio_sweep,1822,adventurousness,0.05,50,50,False,5,1000,,,0.2827,0.0,-0.2827,0,0,True,993,772,135,0,100.0,0,0,38,37
ratio_5pct,ratio_sweep,1959,adventurousness,0.05,50,50,False,5,1000,,,0.40269999999999995,0.11524000000000001,-0.28745999999999994,0,0,True,1760,1969,310,50,83.87,0,0,38,36
ratio_5pct,ratio_sweep,2096,adventurousness,0.05,50,50,False,5,1000,,,0.1356,0.39596,0.26036,0,0,True,1660,3820,103,193,-87.38,0,0,34,33
ratio_5pct,ratio_sweep,2233,adventurousness,0.05,50,50,False,5,1000,,,0.13782,0.51222,0.3744,0,0,True,1672,4900,52,406,-680.77,0,0,54,52
ratio_5pct,ratio_sweep,2370,adventurousness,0.05,50,50,False,5,1000,,,0.24778000000000003,0.5079400000000001,0.26016000000000006,0,0,True,2000,4960,148,283,-91.22,0,0,41,37
ratio_5pct,ratio_sweep,2507,adventurousness,0.05,50,50,False,5,1000,,,0.1326,0.26632,0.13372,0,0,True,1880,1854,50,140,-180.0,0,0,50,50
ratio_5pct,ratio_sweep,2644,adventurousness,0.05,50,50,False,5,1000,,,0.23815999999999998,0.12,-0.11815999999999999,0,0,True,2580,848,99,50,49.49,0,0,35,34
ratio_5pct,ratio_sweep,2781,adventurousness,0.05,50,50,False,5,1000,,,0.25398,0.40212000000000003,0.14814000000000005,0,0,True,2846,2000,100,391,-291.0,0,0,44,43
ratio_5pct,ratio_sweep,2918,adventurousness,0.05,50,50,False,5,1000,,,0.13455999999999999,0.1431,0.00854000000000002,0,0,True,1500,1720,152,201,-32.24,0,0,31,30
ratio_5pct,ratio_sweep,3055,adventurousness,0.05,50,50,False,5,1000,,,0.15808,0.24656000000000003,0.08848000000000003,0,0,True,1829,960,50,98,-96.0,0,0,41,39
ratio_5pct,ratio_sweep,3192,adventurousness,0.05,50,50,False,5,1000,,,0.11648,0.24063999999999997,0.12415999999999996,0,0,True,520,1778,50,198,-296.0,0,0,36,35
ratio_5pct,ratio_sweep,3329,adventurousness,0.05,50,50,False,5,1000,,,0.35402000000000006,0.26818,-0.08584000000000008,0,0,True,3720,2808,287,143,50.17,0,0,46,45
ratio_5pct,ratio_sweep,3466,adventurousness,0.05,50,50,False,5,1000,,,0.65642,0.14228000000000002,-0.51414,1,0,True,,1503,400,44,89.0,0.0,0,33,30
